codocorren,data,hora,mes,diaSemana,tipo,viaA,viaB,tipoenvolv,tipoAutomo,genero,idade,embriagado,vitima,obito,habilitado,ciclo,pavimentac,viaACod,viaATotal,viaAFxRola,viaBCod,viaBtotal,viaBFxRola,bairro,zona,longX,latY,intersecao,intersecaoCodA,intersecaoCodB,intersecaolongx,intersecaolaty,intersecaoCiclo
2019-500,2019-02-20,20:32,Fevereiro,quarta-feira,queda,Av.Dr.Reinaldo Schmithausen,,veículo,Motocicleta,masc.,23,0,1,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71940381,-26.89070842,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-492,2019-02-27,17:50,Fevereiro,quarta-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo,veículo","Automóvel,Caminhão Trator,Semireboque",masc.,58,0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71962561,-26.89063251,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-979,2019-04-04,12:45,Abril,quinta-feira,queda,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Motoneta,Caminhão",fem.,48,0,1,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71893283,-26.8908712,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-840,2019-04-05,18:30,Abril,sexta-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Automóvel,Caminhão Trator",masc.,43,0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.7201233,-26.89041738,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-850,2019-04-09,07:30,Abril,terça-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Caminhonete,Caminhonete","masc.,masc.","59,33",0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71899071,-26.89087621,Av.Marginal Leste-Av.Dr.Reinaldo Schmithausen,1175,1111,-48.719512625905594,-26.890688491762734,ciclovia
2019-427/448,2019-02-20,07:45,Fevereiro,quarta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Onildo Reis,"veículo,veículo","Automóvel,Motoneta","fem.,fem.","22,22",0,0,0,1,compartilhado,Asfalto,1111,27,14,1361,13,8,Cordeiros,Área Urbana,-48.71576145,-26.89156896,R.Onildo Reis-Av.Dr.Reinaldo Schmithausen,1361,1111,-48.71534295011526,-26.891426277258564,ciclovia
2019-1003,2019-04-27,20:10,Abril,sábado,abalroamento,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo,veículo","Automóvel,Caminhão Trator,Semireboque","masc.,masc.,masc.","48,33,33",0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.71502056,-26.89131362,R.Onildo Reis-Av.Dr.Reinaldo Schmithausen,1361,1111,-48.71534295011526,-26.891426277258564,ciclovia
2019-71/72,2019-01-10,21:00,Janeiro,quinta-feira,colisão,R.Francisco Reis,Av.Dr.Reinaldo Schmithausen,"veículo,veículo","Automóvel,Caminhão Trator","masc.,masc.","38,58",0,0,0,1,compartilhado,Asfalto,1177,20,14,1111,27,14,Cordeiros,Área Urbana,-48.71079752,-26.89040307,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-508,2019-02-28,19:30,Fevereiro,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo","Automóvel,Automóvel","masc.,masc.","48,48",0,0,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71087377,-26.89043287,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-639,2019-03-16,16:40,Março,sábado,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo","Motoneta,Automóvel","fem.,masc.","45,34",0,0,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71078399,-26.89030463,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-867,2019-04-11,08:30,Abril,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo,veículo","Automóvel,Caminhão Trator,Semireboque","masc.,masc.,masc.","66,43,43",0,0,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71089222,-26.89045728,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-871,2019-04-11,07:20,Abril,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo","Caminhão,Motoneta","masc.,fem.","60,26",0,1,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71084781,-26.89038109,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-914,2019-04-18,07:30,Abril,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Francisco Reis,"veículo,veículo","Motocicleta,Automóvel","masc.,fem.","21,42",0,1,0,1,compartilhado,Asfalto,1111,27,14,1177,20,14,Cordeiros,Área Urbana,-48.71076512,-26.89035247,Av.Dr.Reinaldo Schmithausen-R.Francisco Reis,1111,1177,-48.71083388250648,-26.8902834870167,ciclovia
2019-324,2019-02-09,21:10,Fevereiro,sábado,abalroamento,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo",Automóvel,fem.,29,0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.70661962,-26.88803819,Av.Dr.Reinaldo Schmithausen-R.Victor Pezzini,1111,1184,-48.70670664975985,-26.888138060697482,ciclovia
2019-249,2019-02-01,19:45,Fevereiro,sexta-feira,colisão,R.Gercino José Correa,R.Saul Schead dos Santos,"veículo,veículo","Automóvel,Motoneta","fem.,masc.","28,22",0,0,0,1,,Asfalto,1100,12,8,49,13,7,Cordeiros,Área Urbana,-48.70562995,-26.8875375,Av.Dr.Reinaldo Schmithausen-R.Gercino José Correa,1111,1100,-48.70566939094657,-26.887919800055297,ciclovia
2019-351,2019-02-13,10:00,Fevereiro,quarta-feira,colisão,R.Ver.Nestor dos Santos,Av.Dr.Reinaldo Schmithausen,"veículo,veículo","Caminhonete,Automóvel","masc.,masc.","43,59",0,0,0,1,compartilhado,Paralelepípedo,1170,12,8,1111,27,14,Cordeiros,Área Urbana,-48.70451755,-26.8879977,Av.Dr.Reinaldo Schmithausen-R.Ver.Nestor dos Santos,1111,1170,-48.7043604728271,-26.887921298002972,ciclovia
2019-624,2019-03-15,13:45,Março,sexta-feira,colisão,R.Américo Meinicke,Av.Dr.Reinaldo Schmithausen,"ciclista,veículo",Camioneta,"fem.,masc.","18,56",0,0,0,1,compartilhado,Misto (Asfalto/Lajota),1102,10,7,1111,27,14,Cordeiros,Área Urbana,-48.70461818,-26.88787016,Av.Dr.Reinaldo Schmithausen-R.Ver.Nestor dos Santos,1111,1170,-48.7043604728271,-26.887921298002972,ciclovia
2019-825,2019-04-05,16:10,Abril,sexta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.Henrique Bianchini,"veículo,veículo","Utilitário,Caminhão","masc.,masc.","22,36",0,0,0,1,compartilhado,Asfalto,1111,27,14,1103,10,7,Cordeiros,Área Urbana,-48.7040277,-26.88793173,Av.Dr.Reinaldo Schmithausen-R.Ver.Nestor dos Santos,1111,1170,-48.7043604728271,-26.887921298002972,ciclovia
2019-257,2019-02-01,13:40,Fevereiro,sexta-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Camioneta,Motocicleta","fem.,fem.","29,44",0,1,0,1,compartilhado,Asfalto,1111,27,14,2165,,,Cordeiros,Área Urbana,-48.70362936,-26.8880811,Av.Dr.Reinaldo Schmithausen-R.José Lopes,1111,1168,-48.703014391878455,-26.888034828333566,ciclovia
2019-306,2019-02-07,14:45,Fevereiro,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.José Rosa,"veículo,veículo","Automóvel,Caminhão","masc.,masc.","58,56",0,1,0,1,compartilhado,Asfalto,1111,27,14,1167,10,7,Cordeiros,Área Urbana,-48.70325747,-26.888058,Av.Dr.Reinaldo Schmithausen-R.José Lopes,1111,1168,-48.703014391878455,-26.888034828333566,ciclovia
2019-494,2019-02-28,11:33,Fevereiro,quinta-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.José Lopes,"veículo,veículo","Motoneta,Automóvel","masc.,masc.","49,57",0,0,0,1,compartilhado,Asfalto,1111,27,14,1168,14,8,Cordeiros,Área Urbana,-48.70327443,-26.88810012,Av.Dr.Reinaldo Schmithausen-R.José Lopes,1111,1168,-48.703014391878455,-26.888034828333566,ciclovia
2019-663,2019-03-19,11:00,Março,terça-feira,colisão,Av.Dr.Reinaldo Schmithausen,R.José Lopes,"veículo,veículo","Caminhão,Automóvel",masc.,42,0,0,0,1,compartilhado,Asfalto,1111,27,14,1168,14,8,Cordeiros,Área Urbana,-48.70323278,-26.88817242,Av.Dr.Reinaldo Schmithausen-R.José Lopes,1111,1168,-48.703014391878455,-26.888034828333566,ciclovia
2019-453,2019-02-26,10:30,Fevereiro,terça-feira,colisão,Av.Dr.Reinaldo Schmithausen,,"veículo,veículo","Automóvel,Automóvel",masc.,54,0,0,0,1,compartilhado,Asfalto,1111,27,14,NA,,,Cordeiros,Área Urbana,-48.70167516,-26.88798831,R.Eredes Serpa-Av.Dr.Reinaldo Schmithausen,1166,1111,-48.701511944419615,-26.887870427971627,ciclovia
2019-284,2019-02-04,19:15,Fevereiro,segunda-feira,abalroamento,R.Estefano José Vanolli,R.Antônio Cyrilo Dutra,"veículo,veículo","Automóvel,Automóvel",fem.,28,0,0,0,1,compartilhado,Asfalto,60,15,11,29,17,9,Cidade Nova,Área Urbana,-48.68869975,-26.90224473,R.Antônio Cyrilo Dutra-R.Estefano José Vanolli,29,60,-48.68870950934231,-26.902245432091,compartilhado
2019-08,2019-01-02,17:20,Janeiro,quarta-feira,colisão,R.Pedro Rangel,,"veículo,veículo","Automóvel,Automóvel","fem.,masc.","31,37",0,0,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68673961,-26.90200122,R.Antônio Cyrilo Dutra-R.São Vicente,29,84,-48.68703870693726,-26.902034285749032,compartilhado
2019-43,2019-01-07,17:50,Janeiro,segunda-feira,colisão,R.São Vicente,,"veículo,veículo","Automóvel,Automóvel",fem.,32,0,0,0,1,,Lajota,84,12,8,NA,,,São Vicente,Área Urbana,-48.68693256,-26.90243239,R.Antônio Cyrilo Dutra-R.São Vicente,29,84,-48.68703870693726,-26.902034285749032,compartilhado
2019-743,2019-03-27,07:20,Março,quarta-feira,colisão,R.Antônio Cyrilo Dutra,,"veículo,veículo","Automóvel,Automóvel",fem.,26,0,0,0,1,compartilhado,Asfalto,29,17,9,NA,,,São Vicente,Área Urbana,-48.68671502,-26.90201778,R.Antônio Cyrilo Dutra-R.São Vicente,29,84,-48.68703870693726,-26.902034285749032,compartilhado
2019-985,2019-04-08,21:40,Abril,segunda-feira,colisão,R.Antônio Cyrilo Dutra,R.São Vicente,"ciclista,veículo",Automóvel,"masc.,masc.","37,50",0,1,0,1,compartilhado,Asfalto,29,17,9,84,12,8,São Vicente,Área Urbana,-48.68705476,-26.90211111,R.Antônio Cyrilo Dutra-R.São Vicente,29,84,-48.68703870693726,-26.902034285749032,compartilhado
2019-923,2019-04-18,17:30,Abril,quinta-feira,colisão,R.São Vicente,,"veículo,veículo","Automóvel,Automóvel","fem.,fem.","28,46",0,0,0,1,,Lajota,84,12,8,NA,,,São Vicente,Área Urbana,-48.68698632,-26.90247024,R.Antônio Cyrilo Dutra-R.São Vicente,29,84,-48.68703870693726,-26.902034285749032,compartilhado
2019-501,2019-02-28,19:50,Fevereiro,quinta-feira,colisão,R.Antônio Ayres dos Santos,R.Rui Barbosa,"veículo,veículo","Automóvel,Automóvel","fem.,masc.","37,58",0,0,0,1,,Asfalto,10,13,8,9,12,8,São Vicente,Área Urbana,-48.69221561,-26.90475549,R.Rui Barbosa-R.Antônio Ayres dos Santos,9,10,-48.69225906549033,-26.904753238718076,ciclofaixa
2019-625,2019-03-15,16:00,Março,sexta-feira,colisão,R.Antônio Ayres dos Santos,,"veículo,veículo","Automóvel,Caminhonete","masc.,masc.","55,25",0,0,0,1,,Asfalto,10,13,8,NA,,,São Vicente,Área Urbana,-48.69230557,-26.90430636,R.Rui Barbosa-R.Antônio Ayres dos Santos,9,10,-48.69225906549033,-26.904753238718076,ciclofaixa
2019-735,2019-03-26,18:15,Março,terça-feira,colisão,R.Antônio Ayres dos Santos,R.Rui Barbosa,"veículo,veículo","Automóvel,Automóvel",masc.,43,0,0,0,1,,Asfalto,10,13,8,9,12,8,São Vicente,Área Urbana,-48.6921932,-26.90478556,R.Rui Barbosa-R.Antônio Ayres dos Santos,9,10,-48.69225906549033,-26.904753238718076,ciclofaixa
2019-270,2019-02-04,11:35,Fevereiro,segunda-feira,colisão,R.Estefano José Vanolli,,"veículo,veículo","Automóvel,Automóvel",masc.,34,0,0,0,1,ciclofaixa,Asfalto,60,15,11,NA,,,Cidade Nova,Área Urbana,-48.68874935,-26.90571405,R.Estefano José Vanolli-R.Osni José Jacinto,60,94,-48.68875698941396,-26.90539239366113,ciclofaixa
2019-989,2019-04-15,07:20,Abril,quinta-feira,colisão,R.Estefano José Vanolli,,"veículo,veículo","Caminhonete,Automóvel","masc.,masc.","40,45",0,0,0,1,,Lajota,936,10,7,NA,,,Cidade Nova,Área Urbana,-48.68869459,-26.90524383,R.Estefano José Vanolli-R.Osni José Jacinto,60,94,-48.68875698941396,-26.90539239366113,ciclofaixa
2019-376,2019-02-19,19:41,Fevereiro,terça-feira,colisão,R.Pedro Rangel,,"veículo,veículo","Automóvel,Automóvel",masc.,48,0,0,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68569233,-26.90156552,R.Pedro Rangel-R.Pedro Rangel,185,185,-48.685675979516816,-26.901541039422785,ciclovia
2019-45,2019-01-07,18:40,Janeiro,segunda-feira,abalroamento,R.Pedro Rangel,,"veículo,veículo","Motoneta,Motoneta","masc.,masc.","33,30",0,1,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68378717,-26.9007137,R.José Pereira Liberato-R.Pedro Rangel,159,185,-48.68236611278087,-26.90049236010779,compartilhado
2019-698,2019-03-21,11:50,Março,quinta-feira,colisão,R.Pedro Rangel,,"veículo,veículo","Automóvel,Motocicleta","fem.,masc.","40,44",0,1,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68342294,-26.90061146,R.José Pereira Liberato-R.Pedro Rangel,159,185,-48.68236611278087,-26.90049236010779,compartilhado
2019-874,2019-03-22,17:18,Março,sexta-feira,colisão,R.Rodolfo Treder,R.José Pereira Liberato,"veículo,veículo","Automóvel,Motocicleta","fem.,masc.","46,26",0,1,0,1,,Lajota,187,11,7,159,"12,5","8,5",São João,Área Urbana,-48.68228898,-26.89996349,R.José Pereira Liberato-R.Pedro Rangel,159,185,-48.68236611278087,-26.90049236010779,compartilhado
2019-870,2019-04-06,12:25,Abril,sábado,colisão,R.José Pereira Liberato,R.Pedro Rangel,"veículo,veículo","Motocicleta,Motoneta",fem.,36,0,1,0,1,ciclovia,Asfalto,159,"12,5","8,5",185,12,9,São João,Área Urbana,-48.68248034,-26.90065342,R.José Pereira Liberato-R.Pedro Rangel,159,185,-48.68236611278087,-26.90049236010779,compartilhado
2019-834,2019-04-06,12:50,Abril,sábado,colisão,R.Pedro Rangel,,"veículo,veículo","Automóvel,Motoneta","masc.,masc.","40,19",0,0,0,1,ciclovia,Asfalto,185,12,9,NA,,,São João,Área Urbana,-48.68364061,-26.90068653,R.José Pereira Liberato-R.Pedro Rangel,159,185,-48.68236611278087,-26.90049236010779,compartilhado
2019-981,2019-04-25,12:10,Abril,quinta-feira,colisão,R.José Pereira Liberato,,"veículo,veículo","Automóvel,Motocicleta",masc.,31,0,0,0,1,,Asfalto,159,"12,5","8,5",NA,,,São João,Área Urbana,-48.68238554,-26.90041477,R.José Pereira Liberato-R.Pedro Rangel,159,185,-48.68236611278087,-26.90049236010779,compartilhado
2019-389,2019-02-15,18:15,Fevereiro,sexta-feira,colisão,R.Blumenau,R.Benjamin Franklin Pereira,"veículo,veículo","Automóvel,Automóvel","masc.,masc.","28,57",0,0,0,1,ciclofaixa,Asfalto,157,14,10,223,"15,2","11,4",São João,Área Urbana,-48.66894739,-26.90097713,Av.Cel.Eugênio Muller-R.Blumenau,162,157,-48.66890540124305,-26.900972585435575,ciclofaixa
2019-810,2019-04-03,06:20,Abril,quarta-feira,colisão,R.Blumenau,R.Benjamin Franklin Pereira,"veículo,ciclista",Automóvel,"masc.,masc.","24,21",0,1,0,1,ciclofaixa,Asfalto,157,14,10,223,"15,2","11,4",São João,Área Urbana,-48.66895025,-26.90088637,Av.Cel.Eugênio Muller-R.Blumenau,162,157,-48.66890540124305,-26.900972585435575,ciclofaixa
2019-943,2019-04-22,11:51,Abril,segunda-feira,colisão,R.Benjamin Franklin Pereira,R.Blumenau,"veículo,veículo","Automóvel,Automóvel",masc.,39,0,0,0,1,ciclofaixa,Asfalto,223,"15,2","11,4",157,14,10,São João,Área Urbana,-48.66902134,-26.90095993,Av.Cel.Eugênio Muller-R.Blumenau,162,157,-48.66890540124305,-26.900972585435575,ciclofaixa
2019-483,2019-02-26,07:23,Fevereiro,terça-feira,colisão,R.Blumenau,R.Albino Gugelmin,"veículo,veículo",Motocicleta,"masc.,fem.","22,19",0,1,0,1,ciclofaixa,Asfalto,157,14,10,158,10,7,São João,Área Urbana,-48.67500308,-26.89318713,R.Albino Gugelmin-R.Blumenau,158,157,-48.67495992866529,-26.893170349828253,ciclofaixa
2019-754,2019-03-28,17:01,Março,quinta-feira,colisão,R.Blumenau,,"veículo,veículo","Automóvel,Automóvel","masc.,masc.","42,30",0,0,0,1,ciclofaixa,Asfalto,157,14,10,NA,,,São João,Área Urbana,-48.67146224,-26.89785047,R.Felício Maes-R.Blumenau,214,157,-48.67166034341511,-26.897676330430517,ciclofaixa
2019-595,2019-03-12,10:15,Março,terça-feira,abalroamento,R.Blumenau,,"veículo,veículo","Motoneta,Automóvel","fem.,masc.","40,57",0,1,0,1,ciclofaixa,Asfalto,157,14,10,NA,,,São João,Área Urbana,-48.67564182,-26.89228664,R.Alfredo Eicke-R.Blumenau,426,157,-48.675491352251264,-26.892526623640826,ciclofaixa
2019-962,2019-04-18,12:20,Abril,quinta-feira,colisão,R.Blumenau,R.Alfredo Eicke,"ciclista,veículo",Motoneta,"fem.,masc.","26,62",0,1,0,1,ciclofaixa,Asfalto,157,14,10,426,15,11,São João,Área Urbana,-48.67555775,-26.89251351,R.Alfredo Eicke-R.Blumenau,426,157,-48.675491352251264,-26.892526623640826,ciclofaixa
2019-350,2019-02-13,11:15,Fevereiro,quarta-feira,colisão,Av.Cel.Eugênio Muller,R.São Miguel,"veículo,veículo,veículo,veículo","Automóvel,Automóvel,Caminhão Trator","masc.,masc.,masc.,masc.","52,59,36,36",0,0,0,1,ciclofaixa,Asfalto,162,25,21,67,11,7,Centro,Área Urbana,-48.66776967,-26.90175637,R.Tijucas-Av.Irineu Bornhausen,286,161,-48.66762823899118,-26.901561690109506,ciclofaixa
2019-497,2019-02-28,16:00,Fevereiro,quinta-feira,colisão,Av.Irineu Bornhausen,,"veículo,veículo","Motocicleta,Automóvel","masc.,masc.","40,37",0,0,0,1,,Asfalto,161,15,9,NA,,,Centro,Área Urbana,-48.66770907,-26.90171838,R.Tijucas-Av.Irineu Bornhausen,286,161,-48.66762823899118,-26.901561690109506,ciclofaixa
2019-563,2019-03-09,11:11,Março,sábado,colisão,Av.Irineu Bornhausen,,"veículo,veículo","Automóvel,Caminhonete","fem.,masc.","44,25",0,0,0,1,,Asfalto,161,15,9,NA,,,Centro,Área Urbana,-48.66774536,-26.90178956,R.Tijucas-Av.Irineu Bornhausen,286,161,-48.66762823899118,-26.901561690109506,ciclofaixa
2019-749,2019-03-24,10:01,Março,domingo,colisão,R.Tijucas,,"veículo,veículo","Automóvel,Automóvel",fem.,26,0,0,0,1,,Asfalto,286,"13,2","9,6",NA,,,Centro,Área Urbana,-48.6674666,-26.90175999,R.Tijucas-Av.Irineu Bornhausen,286,161,-48.66762823899118,-26.901561690109506,ciclofaixa
2019-761,2019-03-29,07:20,Março,sexta-feira,colisão,Av.Ver.Abrahão João Francisco,Av.Ver.Nilo Simas,"veículo,veículo","Automóvel,Automóvel","masc.,masc.","33,58",0,0,0,1,ciclovia,Asfalto,265,"29,4","16,4",892,20,12,Carvalho,Área Urbana,-48.68998409,-26.93286292,Av.Ver.Abrahão João Francisco-Av.Ver.Nilo Simas,265,892,-48.68997921047242,-26.93300092596569,ciclovia
2019-531,2019-03-06,09:54,Março,quarta-feira,colisão,R.Heitor Liberato,R.Tijucas,"veículo,veículo","Automóvel,Caminhonete",fem.,60,0,0,0,1,ciclofaixa,Asfalto,160,"15,5","9,5",286,"13,2","9,6",São João,Área Urbana,-48.66479206,-26.90427784,R.Tijucas-R.Silva,286,287,-48.66481771163863,-26.90424412720497,ciclofaixa
2019-762,2019-03-16,19:10,Março,sábado,colisão,R.Tijucas,R.Silva,"veículo,veículo","Caminhonete,Automóvel","fem.,masc.","56,24",0,0,0,1,ciclofaixa,Asfalto,286,"13,2","9,6",287,"13,2","9,6",Centro,Área Urbana,-48.66471196,-26.90427442,R.Tijucas-R.Silva,286,287,-48.66481771163863,-26.90424412720497,ciclofaixa
2019-678,2019-03-20,16:40,Março,quarta-feira,colisão,R.Tijucas,R.Heitor Liberato,"veículo,ciclista",Automóvel,"fem.,masc.","51,54",0,1,0,1,ciclofaixa,Asfalto,286,"13,2","9,6",160,"15,5","9,5",Centro,Área Urbana,-48.6647355,-26.90428197,R.Tijucas-R.Silva,286,287,-48.66481771163863,-26.90424412720497,ciclofaixa
2019-740,2019-03-26,17:00,Março,terça-feira,abalroamento,R.Heitor Liberato,,"veículo,veículo","Automóvel,Automóvel",fem.,45,0,0,0,1,ciclofaixa,Asfalto,160,"15,5","9,5",NA,,,São João,Área Urbana,-48.66531655,-26.90442312,R.Tijucas-R.Silva,286,287,-48.66481771163863,-26.90424412720497,ciclofaixa
2019-664,2019-03-28,09:00,Março,quinta-feira,colisão,R.Silva,,"veículo,veículo","Automóvel,Automóvel",masc.,40,0,0,0,1,ciclofaixa,Asfalto,287,"13,2","9,6",NA,,,Centro,Área Urbana,-48.66453143,-26.90421583,R.Tijucas-R.Silva,286,287,-48.66481771163863,-26.90424412720497,ciclofaixa
2019-797,2019-04-03,10:50,Abril,quarta-feira,colisão,R.Tijucas,,"veículo,veículo","Caminhão,Automóvel","masc.,masc.","60,29",0,0,0,1,,Asfalto,286,"13,2","9,6",NA,,,Centro,Área Urbana,-48.66473708,-26.90442478,R.Tijucas-R.Silva,286,287,-48.66481771163863,-26.90424412720497,ciclofaixa
2019-14,2019-01-02,18:30,Janeiro,quarta-feira,colisão,R.Benjamin Franklin Pereira,R.Heitor Liberato,"veículo,veículo","Automóvel,Automóvel",masc.,74,0,0,0,1,ciclofaixa,Asfalto,223,"15,2","11,4",160,"15,5","9,5",São João,Área Urbana,-48.67249851,-26.90662499,R.Benjamin Franklin Pereira-R.Heitor Liberato,223,160,-48.67254847067033,-26.906700858766303,ciclofaixa
2019-243,2019-02-01,11:42,Fevereiro,sexta-feira,abalroamento,R.Benjamin Franklin Pereira,R.Heitor Liberato,"veículo,veículo,veículo","Caminhão_Trator,Semireboque,Automóvel","masc.,masc.,fem.","34,34,44",0,0,0,1,ciclofaixa,Asfalto,223,"15,2","11,4",160,"15,5","9,5",São João,Área Urbana,-48.67255419,-26.90667814,R.Benjamin Franklin Pereira-R.Heitor Liberato,223,160,-48.67254847067033,-26.906700858766303,ciclofaixa
2019-382,2019-02-16,19:15,Fevereiro,sábado,colisão,R.Benjamin Franklin Pereira,,"veículo,veículo","Automóvel,Automóvel","masc.,fem.","23,38",0,0,0,1,,Asfalto,223,"15,2","11,4",NA,,,São João,Área Urbana,-48.67251915,-26.90659557,R.Benjamin Franklin Pereira-R.Heitor Liberato,223,160,-48.67254847067033,-26.906700858766303,ciclofaixa
2019-63,2019-01-10,07:30,Janeiro,quinta-feira,colisão,R.Heitor Liberato,R.José Pereira Liberato,"veículo,veículo,veículo","Automóvel,Semireboque,Caminhão Trator","masc.,masc.,masc.","41,40,40",0,0,0,1,ciclofaixa,Asfalto,160,"15,5","9,5",159,"12,5","8,5",São João,Área Urbana,-48.68298629,-26.91000583,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
2019-318,2019-01-12,20:45,Janeiro,sábado,colisão,R.Heitor Liberato,R.José Pereira Liberato,"veículo,veículo","Automóvel,Motoneta",masc.,47,0,0,0,1,ciclofaixa,Asfalto,160,"15,5","9,5",159,"12,5","8,5",São João,Área Urbana,-48.68292537,-26.91001745,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
2019-185,2019-01-25,16:20,Janeiro,sexta-feira,colisão,R.José Pereira Liberato,,"veículo,veículo","Motoneta,Automóvel",fem.,38,0,1,0,1,,Asfalto,159,"12,5","8,5",NA,,,São João,Área Urbana,-48.68300191,-26.90966199,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
2019-429,2019-02-21,18:40,Fevereiro,quinta-feira,abalroamento,Av.Gov.Adolfo Konder,R.Heitor Liberato,"veículo,veículo,veículo","Camioneta,Caminhão Trator,Semireboque","fem.,masc.,masc.","35,39,39",0,0,0,1,ciclofaixa,Asfalto,164,30,17,160,"15,5","9,5",Cidade Nova,Área Urbana,-48.6830088,-26.91007592,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
2019-618,2019-03-11,15:30,Março,segunda-feira,colisão,R.José Pereira Liberato,R.Heitor Liberato,"veículo,veículo","Automóvel,Automóvel",masc.,28,0,0,0,1,ciclofaixa,Asfalto,159,"12,5","8,5",160,"15,5","9,5",São João,Área Urbana,-48.68293309,-26.91005638,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
2019-610,2019-03-15,07:20,Março,sexta-feira,colisão,R.José Pereira Liberato,Av.Gov.Adolfo Konder,"veículo,veículo","Automóvel,Automóvel","fem.,masc.","37,53",0,0,0,1,ciclovia,Asfalto,159,"12,5","8,5",164,30,17,São João,Área Urbana,-48.68303835,-26.91001535,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
2019-882,2019-04-12,18:40,Abril,sexta-feira,colisão,R.Heitor Liberato,,"veículo,veículo","Motocicleta,Automóvel",masc.,54,0,1,0,1,ciclofaixa,Asfalto,160,"15,5","9,5",NA,,,São João,Área Urbana,-48.68294909,-26.90981276,R.Carolina Vailati-R.José Pereira Liberato,526,159,-48.68296462495184,-26.910028899146113,ciclofaixa
